5885,규카츠,10분,116,499.8 kcal,"[""소고기 채끝살"",""빵가루"",""밀가루"",""양배추"",""계란""]"
5884,"연어초밥, 연어장, 연어 샐러드",30분,120,520.0 kcal,"[""연어"",""밥"",""양파"",""식초"",""설탕"",""소금"",""쯔유"",""미림"",""양상추""]"
5883,아맛나맛 나는 아맛나 팥라떼,10분,52,Null,"[""아맛나콘"",""빙수팥"",""에스프레소"",""바닐라아이스크림"",""얼음""]"
5882,"통팥듬뿍, 추억의 아맛나 옛날 빙수",15분,21,Null,"[""콘아이스크림"",""우유얼음"",""찹쌀떡"",""팥"",""콩가루""]"
5881,추억의 별난바 파르페,10분,42,Null,"[""아이스크림"",""우유얼음"",""에스프레소"",""바닐라아이스크림"",""시리얼토핑"",""초코시럽"",""토핑""]"
5880,별난다방 카페라떼,10분,72,Null,"[""아이스크림"",""에스프레소"",""우유얼음"",""휘핑크림"",""초콜릿"",""토핑""]"
5878,김치 볶음밥,15분,279,628.6 kcal,"[""묵은지"",""대패삼겹살"",""쪽파"",""밥"",""계란"",""들기름"",""식용유"",""고추가루"",""설탕"",""굴소스"",""진간장"",""후추"",""통깨""]"
5877,김치 비빔국수,15~20분,307,524.3 kcal,"[""묵은김치"",""소면/라면"",""오이"",""청양고추"",""참기름"",""참깨"",""양조간장"",""고추가루"",""고추장"",""마늘"",""매실청"",""올리고당"",""사과식초"",""깨소금""]"
5876," 매운 제육볶음",30분,116,583.1 kcal,"[""돼지고기앞다리살"",""식용유"",""양파"",""대파"",""사과"",""청양고추"",""마늘"",""맛술"",""진간장"",""진간장"",""고추장"",""고추가루"",""요리당"",""카레가루"",""생강즙"",""참기름"",""후추""]"
5875,김치 전,20분,76,108.7 kcal,"[""김치"",""계란"",""대파"",""청양고추"",""고추가루"",""부침가루"",""밀가루"",""콩기름""]"
5874,김치 전 만들기,20분분,86,108.4 kcal,"[""김치"",""계란"",""대파"",""청양고추"",""고추가루"",""부침가루"",""밀가루"",""식용유""]"
5873,황금돼지바 프라푸치노,3분,119,Null,"[""우유"",""크런치초콜릿"",""돼지바"",""얼음"",""휘핑크림""]"
5872,초코바나나 스무디 레시피,1분,114,Null,"[""바나나"",""초콜릿""]"
5869,스팸주먹밥,10분,103,397.5 kcal,"[""스팸"",""밥"",""참기름"",""김""]"
5868,진짜 맛있는데 간단햄 부대찌개,15분,212,Null,"[""햄"",""소시지"",""콩나물"",""김치"",""떡사리"",""당면"",""소면/라면"",""고추장"",""라면스프""]"
5867,김치피자로스팜 : 김피팜,10분,41,Null,"[""김치"",""햄"",""또띠아"",""피자소스"",""옥수수콘"",""피자치즈"",""파프리카"",""새우"",""양파""]"
5866,로스팜 무쌈말이,5분,381,Null,"[""햄"",""오리고기"",""쌈무"",""무순"",""파프리카"",""양파""]"
5862,플레인 요구르트 X 그래놀라 이색만남,3분,45,Null,"[""과일"",""그래놀라 시리얼"",""플레인요거트""]"
5861,민트초코아이스크림 핫케이크,40~50분,17,Null,"[""핫케이크"",""바나나"",""휘핑크림"",""딸기"",""민트초코콘"",""꿀""]"
5860,민트초코 프라푸치노,30분,69,Null,"[""민트초코콘"",""우유"",""얼음"",""휘핑크림"",""초코과자"",""데코용 딸기""]"
5859,쾌변 리뉴얼,2분,24,254.9 kcal,"[""플레인요거트"",""체리"",""석류"",""사과"",""딸기"",""골드키위"",""귤"",""바나나""]"
5858,크림카레우동,9분,35,Null,"[""감자"",""우동면"",""카레가루"",""우유"",""생크림"",""양파"",""베이컨""]"
5857,차돌박이 크림 파스타 ,12분,101,Null,"[""차돌박이"",""파스타면"",""양파"",""마늘"",""파프리카"",""우유"",""생크림"",""파마산치즈가루""]"
5856,고추기름 묵볶이,20분,103,273.1 kcal,"[""도토리묵"",""떡볶이떡"",""고추기름"",""양조간장"",""설탕"",""물엿"",""고추가루"",""참기름"",""대파"",""굴소스""]"
5855,돌돌말이 키스틱꼬치,10분,28,Null,"[""키스틱"",""식빵"",""청포도"",""사과""]"
5854,추억의 옛날빙수,30분,11,Null,"[""국화빵통팥"",""우유"",""과자""]"
5849,허니버터 감자칩 ,60분,88,194.7 kcal,"[""감자"",""꿀"",""소금"",""버터"",""파슬리""]"
5846,브케스무디,5분,202,Null,"[""물"",""바나나"",""브로콜리가루"",""케일가루""]"
5843,토마토빙수,분,93,534.8 kcal,"[""토마토"",""설탕"",""레몬즙"",""우유"",""연유""]"
5842,차돌파스타,15분,754,576.7 kcal,"[""스파게티면"",""소금"",""차돌박이"",""마늘"",""청양고추"",""쪽파"",""올리브유"",""간장"",""굴소스"",""설탕"",""맛술"",""후추""]"
5841,무한피망,10분,277,104.9 kcal,"[""참치"",""피망"",""참기름"",""후추""]"
5840,참치라자냐,분,204,1306.6 kcal,"[""라자냐"",""양파"",""참치"",""토마토소스"",""모짜렐라치즈"",""소금"",""후추"",""올리브유""]"
5839,라이스푸딩,20분,91,322.0 kcal,"[""밥"",""우유"",""휘핑크림"",""설탕"",""바닐라빈"",""냉동망고"",""라즈베리청"",""허브""]"
5838,간장비빔국수,15분,1013,275.0 kcal,"[""소면/라면"",""간장"",""참기름"",""고추가루"",""깨"",""설탕""]"
5837,식빵계란빵,30분,192,571.4 kcal,"[""식빵"",""계란"",""녹인버터"",""설탕"",""소금"",""후추"",""파슬리""]"
5836,가지타르틴,분,141,239.3 kcal,"[""가지"",""토마토소스"",""어린잎"",""파마산치즈가루"",""방울토마토"",""올리브유"",""소금"",""후추""]"
5835,앙빠다코코낫,10분,108,Null,"[""빠다코코낫"",""팥양갱"",""고메버터""]"
5834,수박냉면,30분,58,140.3 kcal,"[""수박"",""냉면"",""오이"",""배"",""계란"",""깨"",""참기름"",""고추가루"",""고추장"",""간장"",""식초"",""설탕"",""매실청"",""배즙"",""양파"",""마늘""]"
5833,춘천닭갈비,30분,263,810.4 kcal,"[""닭"",""고추장"",""고추가루"",""진간장"",""맛술"",""설탕"",""마늘"",""생강"",""후추"",""참기름"",""간장"",""굴소스""]"
5830,아란치니&콜리플라워소스,40분,125,920.0 kcal,"[""밥"",""양파"",""마늘"",""감자"",""당근"",""피망"",""베이컨"",""체다치즈"",""식용유"",""간장"",""소금"",""후추"",""밀가루"",""빵가루"",""계란"",""콜리플라워"",""버터"",""타임"",""파슬리"",""우유"",""생크림"",""올리브유""]"
5829,멘보샤,30분,265,344.9 kcal,"[""새우"",""식빵"",""계란"",""소금"",""후추"",""감자전분"",""식용유""]"
5828,감자오믈렛,30분,417,361.1 kcal,"[""계란"",""감자"",""양파"",""파마산치즈"",""우유"",""버터"",""소금"",""후추"",""파슬리""]"
5826,레인보우토스트,20분,96,345.0 kcal,"[""식빵"",""피자치즈"",""색소"",""버터""]"
5825,탄탄비빔면,20분,111,495.3 kcal,"[""생면"",""양파"",""오이"",""레드파프리카"",""아몬드슬"",""무순"",""땅콩버터"",""고추장"",""두반장"",""굴소스"",""고추기름"",""설탕"",""참기름"",""치킨스톡""]"
5824,전남친토스트,5분,419,180.6 kcal,"[""식빵"",""블루베리잼"",""크림치즈""]"
5823,스팸동,15분,2091,482.4 kcal,"[""밥"",""스팸"",""양파"",""간장"",""맛술"",""설탕"",""계란"",""대파""]"
5822,스칼로피네 알 리모네,30분,278,484.5 kcal,"[""닭가슴살"",""양파"",""버터"",""밀가루"",""레몬"",""화이트와인"",""로즈마리"",""소금"",""후추"",""올리브유""]"
5821,수박셔벗,120분,275,137.0 kcal,"[""수박"",""레몬즙"",""설탕"",""꿀""]"
5819,땡모반,15분,305,138.5 kcal,"[""수박"",""설탕"",""얼음"",""소금""]"
5818,크레페,20분,119,Null,"[""크레페믹스가루"",""계란"",""녹인버터"",""슬라이스햄"",""계란"",""루꼴라"",""베이컨"",""모짜렐라치즈"",""적양파"",""후추"",""발사믹크림""]"
5817,매운참치라면,15분,375,897.2 kcal,"[""소면/라면"",""참치"",""청양고추"",""대파"",""고추가루"",""마늘"",""식용유""]"
5816,베이컨맛탕,10분,386,Null,"[""통베이컨"",""올리고당"",""설탕""]"
5815,홈메이드냉면,120분,87,301.7 kcal,"[""냉면 면"",""계란"",""오이"",""깨소금"",""육수"",""양지머리"",""대파"",""양파"",""생강"",""감초"",""무"",""마늘"",""국간장"",""황설탕"",""백설탕"",""사과식초"",""레몬즙"",""미림"",""굵은소금""]"
5813,닭날개볶음밥,30분,326,591.8 kcal,"[""닭날개"",""청주"",""소금"",""후추"",""베이컨"",""파"",""양파"",""밥"",""고추가루"",""고추장"",""간장"",""마늘"",""매실액"",""물엿"",""미림""]"
5812,청양새우젓콩나물국,20분,158,44.6 kcal,"[""콩나물"",""무"",""대파"",""청양고추"",""새우젓"",""소금"",""마늘"",""고추가루""]"
5811,대파가지제육볶음,15분,450,546.9 kcal,"[""떡국떡"",""대파"",""가지"",""돼지고기"",""고추가루"",""고추가루"",""맛술"",""설탕"",""간장"",""굴소스"",""고추장"",""마늘"",""후추"",""참기름""]"
5810,돼지고기 볶음고추장,15분,693,146.4 kcal,"[""돼지고기"",""고추장"",""양파"",""대파"",""마늘"",""올리고당"",""설탕"",""간장"",""식용유"",""통깨""]"
5809,빠에야,30분,246,407.8 kcal,"[""쌀"",""닭다리"",""애호박"",""새송이버섯"",""토마토"",""방울토마토"",""양파"",""마늘"",""홍새우"",""바지락/모시조개"",""오징어몸통"",""레몬"",""파슬리"",""강황가루"",""파프리카"",""샤프란"",""올리브유""]"
5808,우동짜장,20분,107,Null,"[""우동면"",""짜장분말"",""쑥갓"",""대파"",""고추가루"",""육수"",""건다시마"",""말린 멸치"",""건새우"",""대파""]"
5807,리얼복숭아 아이스티,60분,303,Null,"[""천도복숭아"",""백설탕"",""레몬즙"",""얼음"",""아이스티분말""]"
5806,순살양념꽃게장,5분,53,Null,"[""순살양념꽃게장"",""밥"",""어린잎"",""계란"",""김""]"
5805,알록옥수수,5분,60,269.6 kcal,"[""옥수수"",""버터"",""꿀"",""마요네즈"",""고추가루"",""파마산치즈""]"
5804,청포도 판나코타,240분,279,655.2 kcal,"[""청포도"",""우유"",""생크림"",""설탕"",""설탕""]"
5802,마약계란,30분,2031,379.2 kcal,"[""계란"",""식초"",""소금"",""간장"",""설탕"",""올리고당"",""참기름"",""쪽파"",""깨""]"
5801,게맛살오이초무침,20분,1080,124.3 kcal,"[""오이"",""양파"",""소금"",""게맛살"",""설탕"",""식초"",""마늘"",""마요네즈"",""부순참깨"",""참기름""]"
5800,샐러드동치미냉소면,15분,149,Null,"[""계란"",""치커리"",""방울토마토"",""적채"",""소면/라면"",""동치미국물""]"
5799,메로나튀김,30분,231,276.0 kcal,"[""메로나"",""밀가루"",""계란"",""빵가루"",""식용유""]"
5798,오돌뼈볶음,30분,251,94.7 kcal,"[""오돌뼈"",""양파"",""대파"",""청양고추"",""고추장"",""고추가루"",""진간장"",""설탕"",""마늘"",""생강"",""후추"",""참기름"",""식용유""]"
5797,야키소바빵,30분,73,788.3 kcal,"[""야키소바면"",""핫도그빵"",""양배추"",""로메인"",""버터"",""양파"",""소시지"",""식용유"",""간장"",""맛술"",""돈까스소스"",""케첩"",""설탕"",""파"",""베이컨"",""새우"",""치킨파우더"",""소금"",""후추"",""참기름"",""올리브유"",""참깨"",""생강초절임""]"
5796,식빵치즈스틱,20분,600,544.4 kcal,"[""식빵"",""슬라이스치즈"",""스트링치즈"",""밀가루"",""계란""]"
5795,아이스크림 호떡,10분,130,461.1 kcal,"[""호떡"",""아이스크림"",""바나나"",""딸기"",""초코시럽"",""식용유""]"
5794,시원한 날치알 냉우동,10분,363,Null,"[""우동면"",""날치알"",""쪽파"",""김자반"",""쯔유"",""꿀"",""참기름"",""깨"",""계란""]"
5793,콩물샤브샤브,30분,73,Null,"[""차돌박이"",""알 배추"",""양파"",""부추"",""숙주나물"",""청양고추"",""육수"",""대파"",""양파"",""건다시마"",""육수멸치"",""콩물"",""소금"",""유자폰즈"",""간장"",""백설탕"",""유자청"",""레몬즙""]"
5792,즉석짜장떡볶이,25분,223,258.3 kcal,"[""떡볶이떡"",""소면/라면"",""냉동만두"",""양배추"",""양파"",""청양고추"",""짜장육수"",""대파"",""양파"",""육수멸치"",""국물용 새우"",""짜장분말"",""고추가루""]"
5791,매운당면찌개,15분,545,511.8 kcal,"[""돼지고기"",""당면"",""양파"",""대파"",""청양고추"",""팽이버섯"",""시금치"",""참기름"",""고추장"",""고추가루"",""소금"",""마늘"",""간장"",""액젓""]"
5790,매실편 - 매실청담그기,분,185,Null,"[""매실"",""설탕""]"
5789,밀푀유김치찜,40분,1799,780.5 kcal,"[""김치"",""삼겹살"",""양파"",""대파"",""고추"",""멸치육수"",""고추가루"",""국간장"",""설탕"",""마늘"",""후추""]"
5788,묵은지 볶음,50분,438,261.5 kcal,"[""묵은지"",""무청"",""올리브유"",""국물용멸치"",""밴댕이"",""마늘"",""양조간장"",""참기름"",""통깨""]"
5787,불족발,20분,109,122.9 kcal,"[""미니족발"",""청양고추"",""대파"",""고추장"",""고추가루"",""물엿"",""간장"",""맛술"",""마늘"",""후추""]"
5786,볶음김치 라자냐,30분,91,1146.5 kcal,"[""라자냐"",""김치"",""베이컨"",""양파"",""식용유"",""스트링치즈""]"
5785,굴소스볶음파스타,20분,687,Null,"[""페투치니"",""양파"",""양송이"",""고추"",""쪽파"",""스팸"",""식용유"",""면수"",""고추가루""]"
5784,아보카도버거,40분,172,Null,"[""버거번"",""목살"",""양지"",""가염버터"",""아보카도"",""베이컨"",""체다치즈"",""토마토"",""양파"",""로메인"",""양상추"",""소금"",""후추"",""크러시드레드페퍼"",""마요네즈"",""사워크림"",""피클""]"
5783,감자밥,30분,110,139.6 kcal,"[""불린쌀"",""감자"",""간장"",""고추가루"",""마늘"",""실파"",""참깨"",""참기름""]"
5782,새우완탕떡국,25분,97,363.3 kcal,"[""새우딤섬"",""떡국떡"",""쑥갓"",""대파"",""말린고추"",""표고버섯"",""국물용멸치"",""고형 치킨스톡"",""국간장"",""마늘"",""후추"",""소금""]"
5781,오트밀바게트 불고기샌드위치,15분,113,282.5 kcal,"[""오트밀 바게트"",""돼지고기"",""오이"",""양파"",""마요네즈"",""칠리소스"",""흑설탕"",""굴소스"",""마늘"",""맛술"",""후추""]"
5780,콜드소이파스타,25분,92,Null,"[""파스타면"",""콩물"",""우유"",""소금"",""백설탕"",""명란젓갈"",""김"",""무순""]"
5779,일본식 냉라면,30분,511,1493.1 kcal,"[""소면/라면"",""양파"",""게맛살"",""슬라이스햄"",""오이"",""우삼겹"",""통깨"",""진간장"",""백설탕"",""레몬즙"",""식초"",""참기름"",""깨소금""]"
5778,훈제연어,5분,146,Null,"[""훈제연어"",""크림치즈"",""홀스래디쉬소스"",""양파"",""어린잎채소"",""케이퍼""]"
5776,스카치에그,20분,114,468.9 kcal,"[""구운란"",""소고기"",""돼지고기"",""양파"",""마늘"",""계란물"",""빵가루"",""소금"",""후추""]"
5775,콘치즈 핫소시지,15분,756,603.9 kcal,"[""캔옥수수"",""소시지"",""양파"",""피망"",""모짜렐라치즈"",""마요네즈"",""설탕"",""후추"",""소금"",""파슬리"",""고추장"",""설탕"",""간장"",""올리고당"",""케첩"",""핫소스""]"
5773,맥앤치즈,20분,888,539.1 kcal,"[""마카로니"",""베이컨"",""버터"",""밀가루"",""우유"",""모짜렐라치즈"",""체다치즈"",""소금"",""후추"",""파슬리""]"
5772,순대꼬치,30분,323,652.3 kcal,"[""순대"",""밀가루"",""튀김가루"",""식용유"",""고추장"",""케첩"",""간장"",""마늘"",""올리고당""]"
5771,아욱국,40분,561,26.2 kcal,"[""멸치"",""다시마"",""아욱"",""대파"",""청양고추"",""된장"",""마늘"",""고추가루""]"
5770,베리컵젤리,10분,98,101.0 kcal,"[""블루베리"",""체리"",""꿀"",""레몬즙""]"
